RY	Royal Bank of Canada	$98.29	$99.90	$70.99	1,475,123,916	$144,989,929,703
TD	Toronto-Dominion Bank (The)	$69.62	$71.31	$53.40	1,859,749,030	$129,475,727,468
BNS	Bank of Nova Scotia (The)	$79.96	$82.30	$59.40	1,209,451,582	$96,707,748,496
CNR	Canadian National Railway Company	$96.31	$96.43	$72.78	762,208,062	$73,408,258,451
SU	Suncor Energy Inc.	$41.76	$44.90	$32.69	1,668,503,680	$69,676,713,676
BMO	Bank of Montreal	$102.85	$103.54	$75.75	648,669,628	$66,715,671,239
GMM.U	General Motors Company	$38.24	$38.35	$27.56	1,500,039,985	$57,361,529,026
TRP	TransCanada Corporation	$60.84	$65.24	$46.81	863,759,075	$52,551,102,123
ENB	Enbridge Inc.	$54.84	$59.19	$48.59	943,186,589	$51,724,352,540
BCE	BCE Inc.	$57.98	$63.41	$56.80	870,803,292	$50,489,174,870
MFC	Manulife Financial Corporation	$24.45	$25.57	$16.43	1,975,675,118	$48,305,256,635
BAM.A	Brookfield Asset Management Inc. Class...	$48.42	$49.33	$41.62	986,332,662	$47,758,227,494
CM	Canadian Imperial Bank Of Commerce	$119.20	$120.83	$92.38	397,841,070	$47,422,655,544
CNQ	Canadian Natural Resources Limited	$41.81	$46.74	$33.11	1,110,952,499	$46,448,923,983
TRI	Thomson Reuters Corporation	$57.38	$60.13	$48.64	727,443,301	$41,740,696,611
GWO	Great-West Lifeco Inc.	$36.48	$37.75	$30.83	986,398,335	$35,983,811,260
IMO	Imperial Oil Limited	$41.11	$48.72	$38.41	847,599,011	$34,844,795,342
SLF	Sun Life Financial Inc.	$48.74	$53.75	$40.00	613,580,091	$29,905,893,635
CP	Canadian Pacific Railway Limited	$199.55	$209.12	$156.01	146,357,135	$29,205,566,289
ABX	Barrick Gold Corporation	$24.43	$30.45	$16.95	1,165,574,071	$28,474,974,554
L	Loblaw Companies Limited	$69.86	$74.59	$62.33	400,842,385	$28,002,849,016
ATD.B	Alimentation Couche-Tard Inc. Class B ...	$62.67	$68.63	$51.21	420,134,840	$26,329,850,422
T	TELUS Corporation	$43.02	$44.41	$39.02	590,430,372	$25,400,314,603
PWF	Power Financial Corporation	$35.43	$35.91	$28.97	713,269,660	$25,271,144,053
RCI.B	Rogers Communications Inc. Class B Non...	$55.94	$58.99	$48.34	402,396,133	$22,510,039,680
MG	Magna International Inc.	$58.06	$62.10	$42.73	382,256,855	$22,193,833,001
WCN	Waste Connections Inc.	$117.46	$118.69	$85.00	175,426,824	$20,605,634,747
NA	National Bank of Canada	$58.25	$59.05	$39.19	340,738,776	$19,848,033,702
POT	Potash Corporation of Saskatchewan Inc.	$22.90	$26.62	$19.93	839,810,179	$19,231,653,099
SAP	Saputo Inc.	$46.27	$48.98	$36.40	386,653,541	$17,890,459,342
AGU	Agrium Inc.	$127.58	$146.99	$104.70	138,176,000	$17,628,494,080
G	Goldcorp Inc.	$20.25	$26.56	$15.95	853,811,565	$17,289,684,191
QSR	Restaurant Brands International Inc.	$73.25	$76.29	$48.80	234,617,984	$17,185,767,328
